#      Y(j)      U(NI/3,j)  U(NI/2,j)  U(NI/2+1,j) U(NI/2+2,j)  U(NI/3*2,j) V(NI/2,j)  V(NI/2+1,j) V(NI/2+2,j)	 #    Y(j)      U(NI/3,j)  U(NI/2,j)  U(NI/2+1,j) U(NI/2+2,j) U(NI/3*2,j) V(NI/2,j)  V(NI/2+1,j) V(NI/2+2,j)
  8.2292E-01  8.5481E-01  2.0091E-03  0.0000E+00  0.0000E+00  0.0000E+00  1.5749E-03  0.0000E+00  0.0000E+00	  0.82291666666666663       0.86152682754269094        3.5631552127120929E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000       -1.0626649926691482E-002   0.0000000000000000        0.0000000000000000     
  8.3333E-01  8.1352E-01  2.0804E-03  0.0000E+00  0.0000E+00  0.0000E+00  3.6197E-03  0.0000E+00  0.0000E+00	  0.83333333333333326       0.82037589177114045        3.0231597796628682E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000       -6.8535687931816427E-003   0.0000000000000000        0.0000000000000000     
  8.4375E-01  7.7123E-01  1.2066E-03  0.0000E+00  0.0000E+00  0.0000E+00  5.2633E-03  0.0000E+00  0.0000E+00	  0.84375000000000000       0.77807645530271374        2.5212082179011906E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000       -3.6940666668040939E-003   0.0000000000000000        0.0000000000000000     
  8.5417E-01  7.2779E-01  1.2384E-03  0.0000E+00  0.0000E+00  0.0000E+00  6.4858E-03  0.0000E+00  0.0000E+00	  0.85416666666666663       0.73462650206005364        2.0503798156902824E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000       -1.0897412628092032E-003   0.0000000000000000        0.0000000000000000     
  8.6458E-01  6.8335E-01  5.1764E-04  0.0000E+00  0.0000E+00  0.0000E+00  7.3638E-03  0.0000E+00  0.0000E+00	  0.86458333333333326       0.69002216418303075        1.6055858283152910E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000        1.0063218027755172E-003   0.0000000000000000        0.0000000000000000     
  8.7500E-01  6.3774E-01  5.1144E-04  0.0000E+00  0.0000E+00  0.0000E+00  7.8783E-03  0.0000E+00  0.0000E+00	  0.87500000000000000       0.64425769435289149        1.1833842642589455E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000        2.6328063289429264E-003   0.0000000000000000        0.0000000000000000     
  8.8542E-01  5.9113E-01 -8.6380E-05  0.0000E+00  0.0000E+00  0.0000E+00  8.0909E-03  0.0000E+00  0.0000E+00	  0.88541666666666663       0.59732545163201378        7.8199537852365920E-004   0.0000000000000000        0.0000000000000000        0.0000000000000000        3.8228718856470958E-003   0.0000000000000000        0.0000000000000000     
  8.9583E-01  5.4332E-01 -1.2008E-04  0.0000E+00  0.0000E+00  0.0000E+00  7.9876E-03  0.0000E+00  0.0000E+00	  0.89583333333333326       0.54921590165185386        4.0149271929385173E-004   0.0000000000000000        0.0000000000000000        0.0000000000000000        4.6065749578566365E-003   0.0000000000000000        0.0000000000000000     
  9.0625E-01  4.9447E-01 -6.0510E-04  0.0000E+00  0.0000E+00  0.0000E+00  7.6250E-03  0.0000E+00  0.0000E+00	  0.90625000000000000       0.49991763203922851        4.4174241833197687E-005   0.0000000000000000        0.0000000000000000        0.0000000000000000        5.0132169345076250E-003   0.0000000000000000        0.0000000000000000     
  9.1667E-01  4.4440E-01 -6.4465E-04  0.0000E+00  0.0000E+00  0.0000E+00  7.0002E-03  0.0000E+00  0.0000E+00	  0.91666666666666663       0.44941738402814352       -2.8486814640840945E-004   0.0000000000000000        0.0000000000000000        0.0000000000000000        5.0738012857814863E-003   0.0000000000000000        0.0000000000000000     
  9.2708E-01  3.9323E-01 -1.0058E-03  0.0000E+00  0.0000E+00  0.0000E+00  6.1749E-03  0.0000E+00  0.0000E+00	  0.92708333333333326       0.39770010124849392       -5.7696876894211373E-004   0.0000000000000000        0.0000000000000000        0.0000000000000000        4.8237659302699139E-003   0.0000000000000000        0.0000000000000000     
  9.3750E-01  3.4082E-01 -1.0123E-03  0.0000E+00  0.0000E+00  0.0000E+00  5.1658E-03  0.0000E+00  0.0000E+00	  0.93750000000000000       0.34474899670503922       -8.1893273867767119E-004   0.0000000000000000        0.0000000000000000        0.0000000000000000        4.3061434791523082E-003   0.0000000000000000        0.0000000000000000     
  9.4792E-01  2.8725E-01 -1.2114E-03  0.0000E+00  0.0000E+00  0.0000E+00  4.0540E-03  0.0000E+00  0.0000E+00	  0.94791666666666663       0.29054563894701896       -9.9207304280056908E-004   0.0000000000000000        0.0000000000000000        0.0000000000000000        3.5752783820539556E-003   0.0000000000000000        0.0000000000000000     
  9.5833E-01  2.3239E-01 -1.1191E-03  0.0000E+00  0.0000E+00  0.0000E+00  2.8887E-03  0.0000E+00  0.0000E+00	  0.95833333333333326       0.23507005835957986       -1.0717301586095800E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000        2.7011757722046901E-003   0.0000000000000000        0.0000000000000000     
  9.6875E-01  1.7629E-01 -1.0829E-03  0.0000E+00  0.0000E+00  0.0000E+00  1.7877E-03  0.0000E+00  0.0000E+00	  0.96875000000000000       0.17830087435014574       -1.0284842430958439E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000        1.7744399751413557E-003   0.0000000000000000        0.0000000000000000     
  9.7917E-01  1.1887E-01 -7.9910E-04  0.0000E+00  0.0000E+00  0.0000E+00  8.4667E-04  0.0000E+00  0.0000E+00	  0.97916666666666663       0.12021544391619268       -8.3381357835450327E-004   0.0000000000000000        0.0000000000000000        0.0000000000000000        9.1153210082234532E-004   0.0000000000000000        0.0000000000000000     
  9.8958E-01  6.0126E-02 -4.4710E-04  0.0000E+00  0.0000E+00  0.0000E+00  2.2356E-04  0.0000E+00  0.0000E+00	  0.98958333333333326        6.0790031593334459E-002  -4.7616945143337877E-004   0.0000000000000000        0.0000000000000000        0.0000000000000000        2.5966688373316486E-004   0.0000000000000000        0.0000000000000000     
  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00	   1.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000     
