#      Y(j)      U(NI/3,j)  U(NI/2,j)  U(NI/2+1,j) U(NI/2+2,j)  U(NI/3*2,j) V(NI/2,j)  V(NI/2+1,j) V(NI/2+2,j)	 #    Y(j)      U(NI/3,j)  U(NI/2,j)  U(NI/2+1,j) U(NI/2+2,j) U(NI/3*2,j) V(NI/2,j)  V(NI/2+1,j) V(NI/2+2,j)
  1.8750E-01  8.9497E-01  3.0904E-03  0.0000E+00  0.0000E+00  0.0000E+00  9.7483E-04  0.0000E+00  0.0000E+00	  0.18750000000000000       0.90152946732820149        4.1504097754947039E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000        1.5087365854351574E-002   0.0000000000000000        0.0000000000000000     
  1.9792E-01  9.3410E-01  2.9881E-03  0.0000E+00  0.0000E+00  0.0000E+00  4.0141E-03  0.0000E+00  0.0000E+00	  0.19791666666666666       0.94038225690667798        4.7973408370443234E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000        2.0331007536320569E-002   0.0000000000000000        0.0000000000000000     
  2.0833E-01  9.7213E-01  4.3683E-03  0.0000E+00  0.0000E+00  0.0000E+00  7.6923E-03  0.0000E+00  0.0000E+00	  0.20833333333333331       0.97808194689763206        5.5212539211296971E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000        2.6481849361269412E-002   0.0000000000000000        0.0000000000000000     
  2.1875E-01  1.0091E+00  4.2611E-03  0.0000E+00  0.0000E+00  0.0000E+00  1.2007E-02  0.0000E+00  0.0000E+00	  0.21875000000000000        1.0146236672239284        6.3474486296785163E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000        3.3704203607013344E-002   0.0000000000000000        0.0000000000000000     
  2.2917E-01  1.0450E+00  6.0953E-03  0.0000E+00  0.0000E+00  0.0000E+00  1.7185E-02  0.0000E+00  0.0000E+00	  0.22916666666666666        1.0500010116366547        7.3149607068055400E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000        4.2218544553306814E-002   0.0000000000000000        0.0000000000000000     
  2.3958E-01  1.0796E+00  6.0460E-03  0.0000E+00  0.0000E+00  0.0000E+00  2.3256E-02  0.0000E+00  0.0000E+00	  0.23958333333333331        1.0842061316847817        8.4872292326257440E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000        5.2325468981704260E-002   0.0000000000000000        0.0000000000000000     
  2.5000E-01  1.1134E+00  8.6134E-03  0.0000E+00  0.0000E+00  0.0000E+00  3.0586E-02  0.0000E+00  0.0000E+00	  0.25000000000000000        1.1172298395043110        9.9719721406931611E-003   0.0000000000000000        0.0000000000000000        0.0000000000000000        6.4441880872441473E-002   0.0000000000000000        0.0000000000000000     
  2.6042E-01  1.1457E+00  8.7703E-03  0.0000E+00  0.0000E+00  0.0000E+00  3.9277E-02  0.0000E+00  0.0000E+00	  0.26041666666666663        1.1490617187875729        1.1958239141466348E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000        7.9156421215985498E-002   0.0000000000000000        0.0000000000000000     
  2.7083E-01  1.1772E+00  1.2616E-02  0.0000E+00  0.0000E+00  0.0000E+00  4.9971E-02  0.0000E+00  0.0000E+00	  0.27083333333333331        1.1796902432653589        1.4785373398145424E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000        9.7315465574775870E-002   0.0000000000000000        0.0000000000000000     
  2.8125E-01  1.2071E+00  1.3347E-02  0.0000E+00  0.0000E+00  0.0000E+00  6.2952E-02  0.0000E+00  0.0000E+00	  0.28125000000000000        1.2091029019964048        1.9070905859834994E-002   0.0000000000000000        0.0000000000000000        0.0000000000000000       0.12015808611072058        0.0000000000000000        0.0000000000000000     
